epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr_before_scheduler,lr_after_scheduler,epoch_elapsed_sec,checkpoint_path,phase,loss,silog_loss,l1_loss,gradient_loss,abs_rel,rmse,si_rmse,avg_grad_norm,valid_pixel_fraction,n_batches,n_samples,skipped_batches,elapsed_sec,samples_per_sec
1,0,2026-05-06 15:32:44,320,12,19600,3000,19600,3000,cuda,0.001,0.0009997737198476167,244.29698777198792,/content/model_checkpoint.pt,train,1.1641037558983998,1.148071936889115,0.0873806212784784,0.05849452280853231,5.755615985962577,0.16784765422367007,1.0418576339904944,1.4992779711058484,0.5361123963647959,1634,19600,0,217.52233123779297,90.10569116498435
1,0,2026-05-06 15:32:44,320,12,19600,3000,19600,3000,cuda,0.001,0.0009997737198476167,244.29698777198792,/content/model_checkpoint.pt,val,0.9894403107166291,0.9752793847322464,0.07330339524149895,0.06330828586965799,7.174814759254455,0.14103845439106227,0.9625034668445587,nan,0.5351132389322917,250,3000,0,26.772631406784058,112.05473060970071
2,1,2026-05-06 15:36:46,320,12,19600,3000,19600,3000,cuda,0.0009997737198476167,0.0009998086150246218,242.0871057510376,/content/model_checkpoint.pt,train,0.9141464096424483,0.9000197748768723,0.07366437233774724,0.06153957089329437,5.309324274229449,0.14145583947584708,0.9263206563862622,2.11194901385389,0.5361123963647959,1634,19600,0,215.36969470977783,91.00630442185492
2,1,2026-05-06 15:36:46,320,12,19600,3000,19600,3000,cuda,0.0009997737198476167,0.0009998086150246218,242.0871057510376,/content/model_checkpoint.pt,val,0.8303469724655151,0.8176611062288285,0.06350099005550146,0.063214326325804,5.491811985015869,0.1234023474752903,0.885177649974823,nan,0.5351132389322917,250,3000,0,26.715697526931763,112.29353068456241
3,2,2026-05-06 15:40:49,320,12,19600,3000,19600,3000,cuda,0.0009998086150246218,0.0009998075895838348,242.42418217658997,/content/model_checkpoint.pt,train,0.8166663022746071,0.803420461303893,0.06776132113944325,0.06163284210248815,5.019398558971494,0.1305202367205989,0.8751031070619347,2.1538342112536237,0.5361123963647959,1634,19600,0,215.75511527061462,90.84373260590534
3,2,2026-05-06 15:40:49,320,12,19600,3000,19600,3000,cuda,0.0009998086150246218,0.0009998075895838348,242.42418217658997,/content/model_checkpoint.pt,val,0.84064216953516,0.8281064217090607,0.0636082828566432,0.05989009792730212,6.869450312137603,0.11472885295748711,0.8875460263490677,nan,0.5351132389322917,250,3000,0,26.66761589050293,112.4959956044808
4,3,2026-05-06 15:44:52,320,12,19600,3000,19600,3000,cuda,0.0009998075895838348,0.0009998337194633714,242.0412528514862,/content/model_checkpoint.pt,train,0.7603181192567037,0.7477230929394538,0.06351142720464102,0.0613662385936904,4.856940138004401,0.12176505309350634,0.8452051749209004,2.085891378699201,0.5361123963647959,1634,19600,0,215.53698444366455,90.93566958167638
4,3,2026-05-06 15:44:52,320,12,19600,3000,19600,3000,cuda,0.0009998075895838348,0.0009998337194633714,242.0412528514862,/content/model_checkpoint.pt,val,0.7238528198003769,0.7120147984027863,0.05912447114288807,0.05938702253997326,5.577197490692138,0.11481057132035494,0.8250787320137024,nan,0.5351132389322917,250,3000,0,26.502558946609497,113.19661644913701
5,4,2026-05-06 15:48:54,320,12,19600,3000,19600,3000,cuda,0.0009998337194633714,0.0009998414975931826,242.1463634967804,/content/model_checkpoint.pt,train,0.712480180339393,0.7004520635016837,0.05987272581833357,0.06094416732087075,4.682101184326695,0.11548081566231962,0.8174052784353896,1.9769387149606517,0.5361123963647959,1634,19600,0,215.5281355381012,90.93940311349792
5,4,2026-05-06 15:48:54,320,12,19600,3000,19600,3000,cuda,0.0009998337194633714,0.0009998414975931826,242.1463634967804,/content/model_checkpoint.pt,val,0.6882317564487457,0.6766496075391769,0.058091834113001825,0.057367496743798256,4.032131114959717,0.1158587497100234,0.8055491535663605,nan,0.5351132389322917,250,3000,0,26.61670184135437,112.71118479972225
