epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
1,0,2026-05-24 22:48:11,128,8,3000,500,3000,500,cuda,0.001,52.5155143737793,/content/model_checkpoint.pt,train,1.5868786409695943,8.754048621813457,0.18716480022668838,1.1501503033638,0.539487060546875,375,3000,45.55531311035156,65.85400900950691
1,0,2026-05-24 22:48:11,128,8,3000,500,3000,500,cuda,0.001,52.5155143737793,/content/model_checkpoint.pt,val,1.5637926000451285,9.110494324139186,0.19225541247971475,1.1711295247077942,0.5110517578125,63,500,6.959710121154785,71.84207262888671
2,1,2026-05-24 22:49:02,128,8,3000,500,3000,500,cuda,0.001,50.95171499252319,/content/model_checkpoint.pt,train,1.4417682049274445,6.411859045346578,0.17805668458342552,1.126692348798116,0.539487060546875,375,3000,43.9183509349823,68.30857571226358
2,1,2026-05-24 22:49:02,128,8,3000,500,3000,500,cuda,0.001,50.95171499252319,/content/model_checkpoint.pt,val,1.520830967596599,5.722989680275084,0.19783691526760186,1.1624053366600522,0.5110517578125,63,500,7.032948017120361,71.09394222491707
3,2,2026-05-24 22:49:52,128,8,3000,500,3000,500,cuda,0.001,50.71056151390076,/content/model_checkpoint.pt,train,1.4315589389006296,6.266130409558614,0.18012577579915523,1.1253484360376993,0.539487060546875,375,3000,43.77846026420593,68.52685046241461
3,2,2026-05-24 22:49:52,128,8,3000,500,3000,500,cuda,0.001,50.71056151390076,/content/model_checkpoint.pt,val,1.508231214114598,8.204402571632748,0.19154564418371708,1.1556873472910079,0.5110517578125,63,500,6.9316651821136475,72.13273966119881
4,3,2026-05-24 22:50:43,128,8,3000,500,3000,500,cuda,0.001,50.708598613739014,/content/model_checkpoint.pt,train,1.420665392478307,6.250814801375071,0.17612846653163433,1.1185601243972778,0.539487060546875,375,3000,43.6875684261322,68.66942034259606
4,3,2026-05-24 22:50:43,128,8,3000,500,3000,500,cuda,0.001,50.708598613739014,/content/model_checkpoint.pt,val,1.5279869517636677,5.280407160047501,0.19895548645466093,1.1571564182402596,0.5110517578125,63,500,7.020593881607056,71.21904619920089
5,4,2026-05-24 22:51:34,128,8,3000,500,3000,500,cuda,0.001,50.74240064620972,/content/model_checkpoint.pt,train,1.4177297491232554,6.210006196339926,0.17720032493273416,1.1165435899098715,0.539487060546875,375,3000,43.774346351623535,68.53329061505755
5,4,2026-05-24 22:51:34,128,8,3000,500,3000,500,cuda,0.001,50.74240064620972,/content/model_checkpoint.pt,val,1.4989342102928767,7.987959343289572,0.19145226162222642,1.1539411033902849,0.5110517578125,63,500,6.967602014541626,71.76070030355963
6,5,2026-05-24 22:52:25,128,8,3000,500,3000,500,cuda,0.001,50.69993710517883,/content/model_checkpoint.pt,train,1.4088940203587215,6.0392286545435585,0.17794676040609678,1.1127198530832927,0.539487060546875,375,3000,43.755131244659424,68.56338707397131
